Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00     18.49     0.00     3434     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.00     18.49     0.00     3434     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.00     18.49     0.00     1053     0.00     0.00  nd* std::__unguarded_partition<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00     1053     0.00     0.00  void std::__move_median_to_first<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00     1053     0.00     0.00  nd* std::__unguarded_partition_pivot<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00     1005     0.00     0.00  int* std::__unguarded_partition<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00     1005     0.00     0.00  void std::__move_median_to_first<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00     1005     0.00     0.00  int* std::__unguarded_partition_pivot<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00       39     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     18.49     0.00       27     0.00     0.00  nd* std::__niter_base<nd*>(nd*)
  0.00     18.49     0.00       26     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00     18.49     0.00       18     0.00     0.00  nd* std::__miter_base<nd*>(nd*)
  0.00     18.49     0.00       13     0.00     0.00  int* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<int>(int const*, int const*, int*)
  0.00     18.49     0.00       13     0.00     0.00  int* std::move_backward<int*, int*>(int*, int*, int*)
  0.00     18.49     0.00       13     0.00     0.00  int* std::__copy_move_backward_a<true, int*, int*>(int*, int*, int*)
  0.00     18.49     0.00       13     0.00     0.00  int* std::__copy_move_backward_a2<true, int*, int*>(int*, int*, int*)
  0.00     18.49     0.00       10     0.00     0.00  std::__lg(int)
  0.00     18.49     0.00        9     0.00     0.00  nd* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<nd>(nd const*, nd const*, nd*)
  0.00     18.49     0.00        9     0.00     0.00  nd* std::move_backward<nd*, nd*>(nd*, nd*, nd*)
  0.00     18.49     0.00        9     0.00     0.00  nd* std::__copy_move_backward_a<true, nd*, nd*>(nd*, nd*, nd*)
  0.00     18.49     0.00        9     0.00     0.00  nd* std::__copy_move_backward_a2<true, nd*, nd*>(nd*, nd*, nd*)
  0.00     18.49     0.00        5     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>::_Iter_comp_iter(bool (*)(nd const&, nd const&))
  0.00     18.49     0.00        5     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> __gnu_cxx::__ops::__iter_comp_iter<bool (*)(nd const&, nd const&)>(bool (*)(nd const&, nd const&))
  0.00     18.49     0.00        5     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00     18.49     0.00        5     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00     18.49     0.00        5     0.00     0.00  std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::clear()
  0.00     18.49     0.00        5     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int const, int> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<int const, int> >*&, std::_Rb_tree_node_base*&)
  0.00     18.49     0.00        5     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_insert_unique_pos(int const&)
  0.00     18.49     0.00        5     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::begin()
  0.00     18.49     0.00        5     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::clear()
  0.00     18.49     0.00        5     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, int> >*)
